Band;Ort Grimm;Ort XY;Y;X;Jahr eigene;Jahr;Region eigene;Region Grimm;Wein
5;Eppishausen;X;48,16666667;10,51666667;1447;1447;CH;CH;
1;Burgau;X;48,43222222;10,40694444;1469;1469;CH;CH;
5;Thundorf;;50,2;10;1463;1463;CH;CH;i
5;Kriessern;X;47;10;1428;1428;CH;CH;
6;Marbach im Rheinthal bei Altstetten St. Gallen;X;47,39202;9,56889;1487;1487;CH;CH;
1;Chur;X;46,84829;9,53222;1450;15. Jh.;CH;CH;
1;Rorschach am Bodensee;X;47,478814;9,493842;1469;1469;CH;CH;i
1;Appenzell;X;47,33077;9,40876;1379;1379;CH;CH;
1;Tablatt bei St Gallen;X;47,4369;9,405;1471;1471;CH;CH;i
6;Pfeffers Mannzucht-Rodel bei St Gallen;;47,42356;9,37749;1523;1523;CH;CH;ei
5;Sommeri;X;47,566665;9,283335;1474;1474;CH;CH;
6;Zilschlacht;;47,5233;9,2604;1576;1576;CH;CH;ei
1;Lax (GraubÃ¼nden);X;46,81;9,26;1303;1303;CH;CH;
5;Magdenau;X;47,40160262;9,17066575;1450;15. Jh.;CH;CH;
5;Oberbuerfn;OberbÃ¼ren;47,450002;9,166664;1481;1481;CH;CH;i
4;TÃ¤gerwylen westl von Konstanz;;47,655558;9,131383;1447;1447;CH;CH;ei
5;Oberuzwil;X;47,42972;9,12306;1436;1436;CH;CH;
1;Engwil bei Gottlieben Thurgau;X;47,617001;9,094724;1532;1532;CH;CH;
1;Ermatingen;X;47,66931;9,0799;1518;1518;CH;CH;
1;Ermatingen;X;47,66931;9,0799;1350;14. Jh.;CH;CH;
1;ThÃ¼rlinden Thurgau;X;47,44749;9,06074;1458;1458;CH;CH;
4;Tobel;X;47,5166;9,0337;1492;1492;CH;CH;
1;Kilchberg Kirchberg Grafschaft Toggenburg;X;47,400001;9,033339;1515;1515;CH;CH;
4;Wigoltingen;X;47,59999722;9,016655556;1403;1403;CH;CH;
5;Werschwylen;X;48;9;NN;NN;CH;CH;
4;Oberhausen;;47,49;9;1393;1393;CH;CH;i_ei
